Episode ,xVel,yVel,yawRate,pitchRate,zVel,rollRate,work,groundContact,tailStatus,baseReward,crash,simpleTrainingPenalties,yPos,orientation
Weights: ,1,0,0,0,0,0,0,0,0,0,0,0,0,1

Config:
keepBalance, "True"
RandomXVelocity, "True"
RandomYVelocity, "False"
RandomAngularVelocity, "False"
RandomStart, "True"
LongEpisodes, "False"
Swimming, "True"
Transition, "False"
Landing, "False"
2D, "False"
LegPhases, "False"
LegAmplitudes, "False"
LegRotations, "False"
SpinePhases, "True"
SpineAmplitudes, "True"
SpinePitch, "True"
Buoyancy, "True"
Tail, "True"
Analysis, "False"

Values:
2,8.711304,0,0,0,0,0,0,0,0,0,0,0,0,20.94755
2,5.967918,0,0,0,0,0,0,0,0,0,0,0,0,13.83502
2,10.77076,0,0,0,0,0,0,0,0,0,0,0,0,20.63829
2,7.485076,0,0,0,0,0,0,0,0,0,0,0,0,24.22865
2,10.48947,0,0,0,0,0,0,0,0,0,0,0,0,21.91582
2,8.647006,0,0,0,0,0,0,0,0,0,0,0,0,20.66876
2,8.337899,0,0,0,0,0,0,0,0,0,0,0,0,26.59446
2,6.396919,0,0,0,0,0,0,0,0,0,0,0,0,26.46743
2,4.248356,0,0,0,0,0,0,0,0,0,0,0,0,18.81863
2,12.98429,0,0,0,0,0,0,0,0,0,0,0,0,18.02168
2,8.832673,0,0,0,0,0,0,0,0,0,0,0,0,22.08134
2,5.885335,0,0,0,0,0,0,0,0,0,0,0,0,21.35282
2,3.635796,0,0,0,0,0,0,0,0,0,0,0,0,21.20671
2,7.642756,0,0,0,0,0,0,0,0,0,0,0,0,25.10519
2,9.173002,0,0,0,0,0,0,0,0,0,0,0,0,24.31509
2,9.245542,0,0,0,0,0,0,0,0,0,0,0,0,20.11775
2,13.72539,0,0,0,0,0,0,0,0,0,0,0,0,23.35627
2,14.01662,0,0,0,0,0,0,0,0,0,0,0,0,21.19255
2,10.53432,0,0,0,0,0,0,0,0,0,0,0,0,23.82439
2,6.407225,0,0,0,0,0,0,0,0,0,0,0,0,24.32895
2,16.22227,0,0,0,0,0,0,0,0,0,0,0,0,24.10178
2,10.73253,0,0,0,0,0,0,0,0,0,0,0,0,17.0041
2,8.063369,0,0,0,0,0,0,0,0,0,0,0,0,23.58037
2,6.748095,0,0,0,0,0,0,0,0,0,0,0,0,20.69207
2,13.33118,0,0,0,0,0,0,0,0,0,0,0,0,22.52976
2,8.641303,0,0,0,0,0,0,0,0,0,0,0,0,24.16616
2,7.827195,0,0,0,0,0,0,0,0,0,0,0,0,20.02855
2,11.75106,0,0,0,0,0,0,0,0,0,0,0,0,23.58499
2,9.42643,0,0,0,0,0,0,0,0,0,0,0,0,23.982
2,9.75614,0,0,0,0,0,0,0,0,0,0,0,0,20.33465
2,11.73874,0,0,0,0,0,0,0,0,0,0,0,0,17.96552
2,7.752172,0,0,0,0,0,0,0,0,0,0,0,0,18.53962
2,10.05024,0,0,0,0,0,0,0,0,0,0,0,0,21.94457
2,7.006588,0,0,0,0,0,0,0,0,0,0,0,0,21.84696
2,11.18546,0,0,0,0,0,0,0,0,0,0,0,0,27.73243
2,9.22617,0,0,0,0,0,0,0,0,0,0,0,0,24.22325
2,14.14306,0,0,0,0,0,0,0,0,0,0,0,0,23.94577
2,13.68002,0,0,0,0,0,0,0,0,0,0,0,0,25.75536
2,15.80003,0,0,0,0,0,0,0,0,0,0,0,0,24.9721
2,9.312391,0,0,0,0,0,0,0,0,0,0,0,0,21.77379
2,8.081902,0,0,0,0,0,0,0,0,0,0,0,0,15.63746
2,10.05267,0,0,0,0,0,0,0,0,0,0,0,0,22.61279
